BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch2bis.ltl_125.vmt", 44, 44, 0.017, 47, 1.133
"benchmarks_wbs/wbs_arch2bis.ltl_126.vmt", 44, 44, 0.016, 47, 1.174
"benchmarks_wbs/wbs_arch2bis.ltl_127.vmt", 44, 44, 0.018, 47, 0.852
"benchmarks_wbs/wbs_arch2bis.ltl_128.vmt", 44, 44, 0.020, 47, 1.380
"benchmarks_wbs/wbs_arch2bis.ltl_129.vmt", 42, 46, 0.412, 231, 10.269
"benchmarks_wbs/wbs_arch2bis.ltl_12.vmt", 89, 103, 1.412, 593, 38.647
"benchmarks_wbs/wbs_arch2bis.ltl_130.vmt", 42, 46, 0.275, 231, 9.698
"benchmarks_wbs/wbs_arch2bis.ltl_131.vmt", 42, 46, 0.348, 231, 12.180
"benchmarks_wbs/wbs_arch2bis.ltl_132.vmt", 42, 46, 0.294, 231, 12.276
"benchmarks_wbs/wbs_arch2bis.ltl_133.vmt", 28, 32, 0.267, 445, 18.394
"benchmarks_wbs/wbs_arch2bis.ltl_14.vmt", 89, 103, 1.773, 593, 33.650
"benchmarks_wbs/wbs_arch2bis.ltl_16.vmt", 89, 103, 2.986, 593, 36.788
"benchmarks_wbs/wbs_arch2bis.ltl_18.vmt", 89, 103, 1.437, 593, 28.632
"benchmarks_wbs/wbs_arch2bis.ltl_1.vmt", 89, 95, 12.838, 1117, 176.832
"benchmarks_wbs/wbs_arch2bis.ltl_20.vmt", 89, 103, 1.080, 593, 38.447
"benchmarks_wbs/wbs_arch2bis.ltl_22.vmt", 89, 95, 0.681, 821, 75.816
"benchmarks_wbs/wbs_arch2bis.ltl_23.vmt", 89, 95, 0.691, 821, 78.957
"benchmarks_wbs/wbs_arch2bis.ltl_24.vmt", 89, 95, 0.302, 665, 32.048
"benchmarks_wbs/wbs_arch2bis.ltl_25.vmt", 89, 113, 2.304, 706, 42.895
"benchmarks_wbs/wbs_arch2bis.ltl_28.vmt", 89, 95, 0.285, 665, 38.720
"benchmarks_wbs/wbs_arch2bis.ltl_29.vmt", 89, 113, 2.245, 706, 31.602
"benchmarks_wbs/wbs_arch2bis.ltl_2.vmt", 89, 95, 78.862, 1117, 172.141
"benchmarks_wbs/wbs_arch2bis.ltl_32.vmt", 89, 95, 0.364, 665, 32.312
"benchmarks_wbs/wbs_arch2bis.ltl_33.vmt", 89, 113, 2.693, 706, 46.017
"benchmarks_wbs/wbs_arch2bis.ltl_36.vmt", 89, 95, 0.414, 665, 41.496
"benchmarks_wbs/wbs_arch2bis.ltl_37.vmt", 89, 113, 2.610, 706, 38.493
"benchmarks_wbs/wbs_arch2bis.ltl_3.vmt", 89, 95, 88.086, 1117, 185.223
"benchmarks_wbs/wbs_arch2bis.ltl_40.vmt", 89, 95, 0.308, 665, 40.337
"benchmarks_wbs/wbs_arch2bis.ltl_41.vmt", 89, 113, 1.712, 706, 39.485
"benchmarks_wbs/wbs_arch2bis.ltl_44.vmt", 89, 95, 0.273, 665, 44.111
"benchmarks_wbs/wbs_arch2bis.ltl_45.vmt", 89, 113, 1.727, 706, 55.226
"benchmarks_wbs/wbs_arch2bis.ltl_48.vmt", 89, 95, 0.271, 665, 43.666
"benchmarks_wbs/wbs_arch2bis.ltl_49.vmt", 89, 113, 1.761, 706, 52.691
"benchmarks_wbs/wbs_arch2bis.ltl_4.vmt", 89, 95, 45.579, 901, 147.458
"benchmarks_wbs/wbs_arch2bis.ltl_52.vmt", 89, 95, 0.355, 665, 44.003
"benchmarks_wbs/wbs_arch2bis.ltl_53.vmt", 89, 113, 2.918, 706, 56.389
